product_id,name,rating,rating_count,num_flowers,aroma,composition_flowers,target_price,bonus,city
5300,Букет из 51 розы микс 35-40 см (Кения) под атласную ленту,5.0,8,51,яркий,роза,3280.0,164,Москва
3469,Букет из 51 красной розы 35-40 см (Кения) под ленту,4.6,590,51,яркий,роза,3290.0,165,Москва
4657,Букет из 25 альстромерий нежный микс под ленту,5.0,171,25,без запаха,альстромерия,3820.0,191,Москва
3265,Букет из 101 розы яркий микс 35-40 см (Кения),5.0,812,101,яркий,роза,7140.0,357,Москва
3982,Букет из 25 розовых гвоздик в стильной упаковке,4.7,599,25,сладкий,гвоздика,3290.0,165,Москва
5643,Букет из 35 красных роз (Кения) 50 см под ленту,4.7,165,35,яркий,роза,4170.0,209,Москва
4007,Букет из 101 розы нежный микс 35-40 см (Россия) под ленту,4.8,753,101,классический,роза,7140.0,357,Москва
4989,Букет из 51 альстромерий микс под ленту,5.0,4,51,без запаха,альстромерия,6590.0,330,Москва
2937,Букет из 35 роз микс 35-40 см (Кения) под атласную ленту,4.7,838,35,яркий,роза,3170.0,159,Москва
1881,Букет из 15 гербер стандарт микс в стильной упаковке,4.5,536,15,свежий,гербера,3390.0,170,Москва
5647,Букет из 51 красной розы (Кения) 50 см под ленту,4.6,185,51,яркий,роза,5160.0,258,Москва
4699,Букет из 51 розовой розы 35-40 см (Россия) под ленту,5.0,449,51,классический,роза,3610.0,181,Москва
4987,Букет из 15 альстромерий микс под ленту,5.0,166,15,без запаха,альстромерия,3390.0,170,Москва
4821,Букет из 101 белой розы 35-40 см (Россия) под ленту,5.0,3,101,классический,роза,7140.0,357,Москва
1680,Букет из 25 гербер стандарт микс в стильной упаковке,4.8,530,25,свежий,гербера,5965.0,299,Москва
5251,Букет из 101 альстромерии микс под ленту,4.6,168,101,без запаха,альстромерия,11990.0,600,Москва
5488,Букет из 35 альстромерий микс под атласную ленту,5.0,51,35,без запаха,альстромерия,4940.0,247,Москва
3981,Букет из 51 розовой и белой гвоздики в стильной упаковке,4.5,413,51,сладкий,гвоздика,5490.0,275,Москва
3527,Букет из 51 красной и белой розы микс 35-40 см (Кения) под ленту,4.7,714,51,яркий,роза,3610.0,181,Москва
3468,Букет из 101 красной розы 35-40 см (Кения) под ленту,5.0,1004,101,яркий,роза,7140.0,357,Москва
3528,Букет из 101 красной и белой розы микс 35-40 см (Кения) под ленту,4.9,691,101,яркий,роза,7140.0,357,Москва
4641,Букет из 101 белой и кремовой розы 35-40 см (Россия) под ленту,5.0,386,101,классический,роза,7140.0,357,Москва
3979,Букет из 25 розовых и белых гвоздик в стильной упаковке,5.0,315,25,сладкий,гвоздика,3290.0,165,Москва
4675,Букет из 51 кремовой розы 35-40 см (Россия) под ленту,5.0,5,51,классический,роза,3610.0,181,Москва
4693,Букет из 101 розовой розы 35-40 см (Россия) под ленту,5.0,331,101,классический,роза,7140.0,357,Москва
4643,Букет из 101 розы 35-40 см (Россия) в пастельных тонах под ленту,4.8,5,101,классический,роза,7140.0,357,Москва
2508,Букет из 51 розы нежный микс 35-40 см (Россия) под атласную ленту,5.0,623,51,классический,роза,3610.0,181,Москва
4673,Букет из 51 белой розы 35-40 см (Россия) под ленту,5.0,8,51,классический,роза,3610.0,181,Москва
5330,Букет цветов Душевное тепло     S,4.7,187,7,яркий,роза,1407.0,71,Москва
5006,Букет из 35 роз (Россия) с красной розой в центре под атласную ленту  35-40см,4.9,139,35,классический,роза,4032.0,202,Москва
5300,Букет из 51 розы микс 35-40 см (Кения) под атласную ленту,5.0,8,51,яркий,роза,3280.0,164,Москва
2066,Букет цветов Тепло,4.5,789,9,яркий,роза,1376.0,69,Москва
3469,Букет из 51 красной розы 35-40 см (Кения) под ленту,4.6,590,51,яркий,роза,3290.0,165,Москва
3265,Букет из 101 розы яркий микс 35-40 см (Кения),5.0,812,101,яркий,роза,7140.0,357,Москва
