,product_id,name,rating,rating_count,num_flowers,target_price,bonus,name_length,composition_flowers_length,aroma_id,city_id,composition_flowers_id
155,2080,Букет из 25 красной premium розы 40-50 см (Эквадор) в упаковке,4.5,921,25.0,8290.0,415,62,4.0,11,3,26
576,1863,Букет цветов Клубничный сорбет,5.0,672,15.0,3848.0,193,30,7.0,7,5,5
1168,2945,Букет из 11 белых кустовых хризантем Сантини в упаковке,4.6,763,11.0,3449.0,173,55,10.0,8,2,36
447,4606,Букет из 51 тюльпана стандарт яркий микс под ленту,5.0,791,49.0,5870.0,294,50,7.0,1,3,33
628,3208,Букет из 15 альстромерий нежный микс в стильной упаковке,4.5,723,15.0,3712.0,186,56,12.0,1,5,1
436,4572,Букет из 25 розовых тюльпанов стандарт под ленту,4.7,671,25.0,4032.0,202,48,7.0,1,3,33
895,1680,Букет из 25 гербер стандарт микс в стильной упаковке,4.8,530,25.0,3990.0,200,52,7.0,7,4,5
1392,89,Тюльпаны желтые,4.9,841,15.0,371.0,19,15,7.0,1,1,33
1281,28,Лизиантус фиолетовый,4.6,472,9.0,585.0,30,20,7.0,1,2,38
927,3415,Лилия ориентальная розовая,4.7,356,9.0,1049.0,53,26,5.0,11,4,20
98,3744,Букет из 9 красных роз premium 40-50 см (Эквадор) в стильной упаковке,5.0,649,9.0,3791.0,190,69,4.0,11,3,26
1331,4574,Букет из 25 белых тюльпанов стандарт под ленту,4.6,869,25.0,5018.0,251,46,7.0,1,2,33
1257,3627,Букет из 35 альстромерий яркий микс в  упаковке,4.8,497,35.0,7322.0,367,47,12.0,1,2,1
1394,1046,Тюльпаны пионовидные розово- желтые,4.6,815,15.0,478.0,24,35,7.0,1,1,33
121,3940,Букет из 35 малиновых роз 35-40 см (Россия) в стильной упаковке,4.8,884,35.0,5723.0,287,63,4.0,2,3,26
1486,77,Хризантема кустовая белая,4.9,540,11.0,487.0,25,25,10.0,8,1,36
446,4573,Букет из 51 розового тюльпана стандарт под ленту,4.5,562,49.0,5870.0,294,48,7.0,1,3,33
269,33,Лилия азиатская желтая,4.6,566,9.0,587.0,30,22,5.0,11,3,20
1131,5067,Букет цветов Каприз,4.7,137,3.0,2410.0,121,19,4.0,11,4,23
165,3585,Букет из 9 белых кустовых хризантем в стильной упаковке,4.8,691,9.0,3801.0,191,55,10.0,8,3,36
325,1849,Букет цветов Родимая,4.9,657,9.0,5870.0,294,20,7.0,1,3,38
523,123,Сантини белая ромашка,5.0,751,15.0,240.0,12,21,10.0,8,5,36
1409,2582,Букет из 25 фрезий микс в дизайнерской упаковке,4.9,462,25.0,9241.0,463,47,6.0,10,1,35
1112,2157,Букет цветов Романтический день,5.0,451,25.0,4085.0,205,31,7.0,1,4,33
538,5515,Букет цветов Нежные ноты,4.6,166,7.0,2258.0,113,24,14.5,8,5,4
513,3735,Букет из 51 белой кустовой хризантемы Сантини в стильной упаковке,5.0,562,49.0,12348.0,618,65,10.0,8,5,36
424,3880,Букет из 25 нарциссов в стильной упаковке,4.7,57,25.0,8616.0,431,41,7.0,6,3,22
1104,5438,Букет в шляпной коробке Нежная,4.6,169,15.0,3350.0,168,30,7.0,1,4,33
1316,5422,Букет из белых тюльпанов стандарт в упаковке   25 шт,4.8,198,25.0,5227.0,262,52,7.0,1,2,33
836,3587,Букет из 15 белых кустовых хризантем в стильной упаковке,4.9,820,15.0,5444.0,273,56,10.0,8,4,36
390,5187,Букет из 11 белых гладиолусов под ленту,4.5,166,11.0,6358.0,318,39,9.0,3,3,11
555,13,Гвоздика белая,4.5,640,21.0,167.0,9,14,8.0,8,5,2
1474,2945,Букет из 11 белых кустовых хризантем Сантини в упаковке,4.6,763,11.0,4057.0,203,55,10.0,8,1,36
1267,2969,Альстромерия нежный микс,4.9,672,15.0,257.0,13,24,12.0,1,2,1
1468,13,Гвоздика белая,4.5,640,21.0,203.0,11,14,8.0,8,1,2
820,5554,Букет из 5 хризантем Бакарди в стильной упаковке,4.8,188,5.0,1880.0,94,48,10.0,8,4,36
768,5439,Букет в шляпной коробке Влюблённость   S на фото,4.7,168,15.0,3770.0,189,48,7.0,1,5,33
1180,4284,Букет из 9 кустовых хризантем Сантини микс в стильной упаковке,4.5,359,9.0,2977.0,149,62,10.0,8,2,36
735,3396,Букет из гипсофил Росинка,4.7,608,5.0,2672.0,134,25,9.0,1,5,8
1310,3268,Букет из гипсофил Созвездие любви,4.8,567,15.0,7755.0,388,33,9.0,1,2,8
739,3688,Букет из гипсофил Белый пух,4.6,437,7.0,3407.0,171,27,9.0,1,5,8
748,3478,Гипсофила белая,4.5,432,15.0,366.0,19,15,9.0,1,5,8
1150,5496,Букет цветов Нежность рассвета,4.8,198,13.0,9125.0,457,30,4.0,11,4,23
171,2945,Букет из 11 белых кустовых хризантем Сантини в упаковке,4.6,763,11.0,3717.0,186,55,10.0,8,3,36
741,3259,Букет из гипсофил Звездная пыль,4.7,503,19.0,9324.0,467,31,9.0,1,5,8
265,3421,Лилия ориентальная малиновая,4.7,447,7.0,1154.0,58,28,5.0,11,3,20
903,3971,Букет из 15 мини гербер микс в стильной упаковке,4.8,511,2.0,3554.0,178,48,7.0,7,4,5
72,5001,Букет из 35 красных роз (Россия) под атласную ленту  35-40см,4.5,136,35.0,5024.0,252,60,4.0,2,3,26
31,2066,Букет цветов Тепло,4.5,789,9.0,1376.0,69,18,4.0,11,3,26
227,2253,Гвоздика микс,4.9,427,33.0,177.0,9,13,8.0,8,3,2
909,4278,Букет из 49 гербер стандарт микс в стильной упаковке,4.9,714,49.0,11393.0,570,52,7.0,7,4,5
1008,3657,Букет из 9 белых эустом в стильной упаковке,5.0,445,9.0,5135.0,257,43,7.0,1,4,38
1054,1417,Букет из 25 подсолнухов под ленту,4.5,626,25.0,13519.0,676,33,9.0,9,4,25
368,3317,Букет из 21 садовой ромашки в стильной упаковке,4.6,477,21.0,6794.0,340,47,7.0,4,3,29
892,3953,Букет из 7 белых мини гербер в стильной упаковке с зеленью,4.7,733,7.0,2252.0,113,58,7.0,7,4,5
937,4885,Букет цветов Твои объятия,4.7,186,1.0,1985.0,100,25,14.5,10,4,15
1097,5427,Букет цветов Комплимент   5 шт,4.8,183,5.0,1255.0,63,30,7.0,1,4,33
483,5497,Букет цветов Летняя серенада,4.8,198,25.0,14617.625,732,28,4.0,11,3,23
708,5186,Букет из 15 гладиолусов микс под ленту,4.4,164,15.0,7682.0,385,38,9.0,3,5,11
1220,3425,Букет из 3 белых ориентальных лилий в упаковке,4.6,748,3.0,4395.0,220,46,5.0,11,2,20
1271,3649,Букет цветов Забота,4.9,591,7.0,2215.0,111,19,4.0,4,2,18
728,4357,Букет из сухоцветов Сладкая жизнь,4.6,741,8.0,10602.0,531,33,9.0,1,5,32
970,957,Букет из 79 альстромерий микс в стильной упаковке,4.5,613,49.0,14617.625,732,49,12.0,1,4,1
150,2146,Букет из 101 белой розы premium 60-70 см (Эквадор) в нежной упаковке,4.5,953,49.0,14617.625,732,68,4.0,11,3,26
1319,2139,Букет из 51 тюльпана пионовидного розового в дизайнерской упаковке,4.9,804,49.0,14617.625,732,66,7.0,1,2,33
521,3951,Букет из 51 белой кустовой хризантемы Балтика в стильной упаковке,5.0,748,49.0,14617.625,732,65,10.0,8,5,36
595,3423,Букет из 7 малиновых ориентальных лилий в упаковке,4.6,693,7.0,8185.0,410,50,5.0,11,5,20
372,4271,Букет из 51 ромашки в стильной упаковке,4.9,378,49.0,14617.625,732,39,7.0,4,3,29
810,5102,Букет цветов Магия любви,4.8,185,15.0,11324.0,567,24,4.0,11,5,23
1167,3593,Букет из 35 кустовых хризантем микс в стильной упаковке,4.7,664,35.0,14617.625,732,55,10.0,8,2,36
1322,1969,Букет из 35 микса тюльпанов в нежной фиолетовой упаковке,4.7,728,35.0,11621.0,582,56,7.0,1,2,33
749,3443,Гипсофила микс,4.9,563,15.0,440.0,22,14,9.0,1,5,8
1209,1881,Букет из 15 гербер стандарт микс в стильной упаковке,4.5,536,15.0,3656.0,183,52,7.0,7,2,5
750,4595,Букет из 25 белых гипсофил в коробке,4.5,199,25.0,8600.0,430,36,9.0,1,5,8
935,3402,Букет цветов Объятия,4.5,436,1.0,2200.0,110,20,14.5,10,4,14
1275,1849,Букет цветов Родимая,4.9,657,9.0,5488.0,275,20,7.0,1,2,38
1251,4232,Букет из 19 маттиол микс в стильной упаковке,5.0,340,19.0,9336.0,467,44,7.0,11,2,21
545,3976,Букет из 15 розовых гвоздик в стильной упаковке с зеленью,4.8,572,15.0,3292.0,165,57,8.0,8,5,2
887,14,Гвоздика красная,4.9,727,21.0,168.0,9,16,8.0,8,4,2
451,2126,Букет цветов Роскошь,4.6,955,49.0,6573.0,329,20,7.0,1,3,33
1114,5437,Букет в шляпной коробке Весна,4.8,185,25.0,4295.0,215,29,7.0,1,4,33
534,5279,Букет цветов Любящее сердце,4.6,167,7.0,1932.0,97,27,8.0,8,5,2
971,3641,Букет цветов Звезда,4.7,370,5.0,1517.0,76,19,12.0,1,4,1
766,4572,Букет из 25 розовых тюльпанов стандарт под ленту,4.7,671,25.0,3665.0,184,48,7.0,1,5,33
926,3421,Лилия ориентальная малиновая,4.7,447,7.0,1049.0,53,28,5.0,11,4,20
1158,5091,Букет из 35 розовых пионов (Premium) в стильной упаковке,4.3,165,35.0,14617.625,732,56,4.0,11,4,23
1089,3268,Букет из гипсофил Созвездие любви,4.8,567,15.0,7439.0,372,33,9.0,1,4,8
110,3944,Букет из 51 розы светлый микс 35-40 см  (Россия) под атласную ленту,4.7,977,49.0,4610.0,231,67,4.0,2,3,26
638,3108,Букет цветов Шелковый смех,4.9,655,31.0,7109.0,356,26,12.0,1,5,1
1482,78,Сантини микс,5.0,944,15.0,265.0,14,12,10.0,8,1,36
557,12,Гвоздика розовая,4.5,538,21.0,167.0,9,16,8.0,8,5,2
448,4453,Букет из 51 тюльпанов стандарт микс под ленту,4.6,632,49.0,5870.0,294,45,7.0,1,3,33
1386,2136,Букет цветов Твоя фантазия,4.8,579,49.0,14617.625,732,26,7.0,1,1,33
1283,542,Букет из 15 матрикарий в стильной упаковке,4.5,331,15.0,5114.0,256,42,7.0,1,2,29
1398,3259,Букет из гипсофил Звездная пыль,4.7,503,19.0,11396.0,570,31,9.0,1,1,8
1026,5095,Букет цветов Ночной порыв,4.6,166,15.0,6867.0,344,25,13.0,4,4,19
100,4841,Букет из 25 белых роз (Россия) под атласную ленту 35-40 см,4.5,2,25.0,4074.0,204,58,4.0,2,3,26
349,5095,Букет цветов Ночной порыв,4.6,166,15.0,7571.0,379,25,13.0,4,3,19
348,5094,Букет цветов Летнее поле,4.5,147,10.0,6048.0,303,24,14.5,1,3,37
1377,4607,Букет из 25 красных тюльпанов стандарт под ленту,4.8,938,25.0,5982.0,300,48,7.0,1,1,33
1080,3377,Букет из гипсофил Сияние,4.5,523,5.0,3040.0,152,24,9.0,1,4,8
507,3587,Букет из 15 белых кустовых хризантем в стильной упаковке,4.9,820,15.0,5444.0,273,56,10.0,8,5,36
524,78,Сантини микс,5.0,944,15.0,240.0,12,12,10.0,8,5,36
1222,3424,Букет из 7 белых ориентальных лилий в упаковке,4.5,425,7.0,9090.0,455,46,5.0,11,2,20
138,2885,Букет из 101 белой розы 35-40 см (Россия) в стильной упаковке,4.5,811,49.0,10269.0,514,61,4.0,2,3,26
716,5187,Букет из 11 белых гладиолусов под ленту,4.5,166,11.0,5783.0,290,39,9.0,3,5,11
645,2968,Альстромерия яркий микс,4.6,362,17.0,219.0,11,23,12.0,1,5,1
630,4829,Букет цветов Бархатные объятия,4.149999999999999,2,19.0,4610.0,231,30,12.0,1,5,1
1256,3637,Букет цветов Желание,4.9,484,9.0,2977.0,149,20,12.0,1,2,1
1293,2947,Букет из 75 белых кустовых хризантем Сантини в стильной упаковке,4.6,531,49.0,14617.625,732,64,10.0,8,2,36
776,4573,Букет из 51 розового тюльпана стандарт под ленту,4.5,562,49.0,5345.0,268,48,7.0,1,5,33
1132,5337,Букет цветов Воплощение мечты,4.7,165,3.0,2877.0,144,29,14.0,11,4,24
933,4178,Букет цветов Голубоглазка,4.8,386,1.0,1360.0,68,25,9.0,10,4,13
686,3131,Букет из 15 хризантем Бакарди в стильной упаковке,5.0,799,15.0,5444.0,273,49,10.0,8,5,36
604,4178,Букет цветов Голубоглазка,4.8,386,1.0,1360.0,68,25,9.0,10,5,13
1185,2947,Букет из 75 белых кустовых хризантем Сантини в стильной упаковке,4.6,531,49.0,14617.625,732,64,10.0,8,2,36
806,5099,Букет цветов Робкая надежда,4.7,175,11.0,8390.0,420,27,4.0,11,5,23
1397,3377,Букет из гипсофил Сияние,4.5,523,5.0,3964.0,199,24,9.0,1,1,8
1294,3318,Букет из 15 садовых ромашек в дизайнерской упаковке,4.7,719,15.0,5767.0,289,51,7.0,4,2,29
37,5361,Букет цветов Нежные объятия    S,5.0,2,7.0,1407.0,71,32,4.0,11,3,26
